success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,participant_number,reconstruction_instructions,comprehend_reconstruction,nonpretend_instructions,comprehend_np,nickname,bonus,condition,view_history,rt,responses,question_order,correct,test_part,grid,already_clicked,click_log,final_grid_state,num_clicks,cheat,round_points,misses,grid_number
1,fullscreen,0,2712,0.0-0.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",,"","",,"","","","","",,,,,
,instructions,1,32460,0.0-1.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":11490},{""""page_index"""":1,""""viewing_time"""":4275},{""""page_index"""":2,""""viewing_time"""":5978},{""""page_index"""":3,""""viewing_time"""":2634},{""""page_index"""":4,""""viewing_time"""":5368}]",29746,"","",,"","","","","",,,,,
,survey-multi-choice,2,38294,0.0-2.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",5832,"{""""Q0"""":""""... find all black cards whilst revealing as <b>few white cards</b> as possible""""}",[0],1,multichoice_part1,"","","","",,,,,
,instructions,3,41795,0.0-4.0-0.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":3501}]",3501,"","",,"","","","","",,,,,
,findSquares,4,55371,0.0-4.0-1.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",,"","",,"","[['0', '0', '0', '0'], ['1', '1', '1', '1'], ['1', '1', '1', '1'], ['0', '0', '0', '0']]","[[2, 2]]","{'i': [2, 0, 1, 3, 2, 1, 1, 0, 3, 2, 1], 'j': [1, 2, 2, 2, 0, 1, 0, 0, 0, 3, 3], 't': [1214, 2301, 3246, 4422, 5741, 6564, 7527, 8604, 9662, 10835, 11566], 'hit': ['1', '0', '1', '0', '1', '1', '1', '0', '0', '1', '1'], 'b': []}","[['white', 'unknown', 'white', 'unknown'], ['black', 'black', 'black', 'black'], ['black', 'black', 'black', 'black'], ['white', 'unknown', 'white', 'unknown']]",11,0,4,,
,instructions,5,59177,0.0-4.0-2.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":3804}]",3804,"","",,"","","","","",,,,,
,instructions,6,77811,0.0-4.0-3.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":16494},{""""page_index"""":1,""""viewing_time"""":2139}]",18633,"","",,"","","","","",,,,,
,findSquares,7,103384,0.0-4.0-4.0-0.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0'], ['1', '0', '0', '0', '0', '1'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0']]","[[1, 1], [1, 5], [3, 5], [4, 0]]","{'i': [4, 3, 1, 2, 0, 0, 1, 2, 1, 2, 2, 3, 4, 5, 5, 3, 4], 'j': [1, 1, 2, 0, 1, 0, 0, 1, 4, 5, 4, 4, 5, 1, 0, 0, 4], 't': [1783, 2599, 3994, 6936, 8474, 9408, 10866, 11625, 12959, 13844, 14735, 15666, 16743, 19658, 20570, 21566, 23563], 'hit': ['1', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '1', '0', '0', '1', '1'], 'b': []}","[['white', 'white', 'unknown', 'unknown', 'unknown', 'unknown'], ['black', 'black', 'white', 'unknown', 'black', 'black'], ['white', 'white', 'unknown', 'unknown', 'white', 'white'], ['black', 'white', 'unknown', 'unknown', 'white', 'black'], ['black', 'black', 'unknown', 'unknown', 'black', 'black'], ['white', 'white', 'unknown', 'unknown', 'unknown', 'unknown']]",17,0,15,,1
,instructions,8,105268,0.0-4.0-4.0-1.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":1883}]",1884,"","",,"","","","","",,,,,
,findSquares,9,134813,0.0-4.0-4.0-0.1,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['0', '0', '0', '0', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['1', '1', '0', '0', '1', '1'], ['1', '0', '0', '0', '0', '1']]","[[2, 2], [4, 1], [4, 5]]","{'i': [3, 4, 5, 3, 3, 5, 4, 4, 1, 2, 3, 3, 2, 1, 5, 4], 'j': [1, 2, 0, 2, 4, 5, 3, 4, 3, 3, 3, 5, 4, 4, 1, 0], 't': [1647, 3661, 5419, 6599, 8819, 9879, 13929, 15931, 17421, 18258, 20105, 22214, 23822, 24632, 26636, 27542], 'hit': ['0', '0', '1', '1', '0', '1', '0', '1', '0', '1', '1', '0', '0', '0', '0', '1'], 'b': []}","[['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['unknown', 'unknown', 'unknown', 'white', 'white', 'unknown'], ['unknown', 'unknown', 'black', 'black', 'white', 'unknown'], ['unknown', 'white', 'black', 'black', 'white', 'white'], ['black', 'black', 'white', 'white', 'black', 'black'], ['black', 'white', 'unknown', 'unknown', 'unknown', 'black']]",16,0,17,,2
