success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,participant_number,reconstruction_instructions,comprehend_reconstruction,nonpretend_instructions,comprehend_np,nickname,bonus,view_history,rt,responses,question_order,correct,test_part,grid,already_clicked,click_log,final_grid_state,num_clicks,cheat,round_points,misses,grid_number,white_cards_reported
1,fullscreen,0,4706,0.0-0.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"",,"","",,"","","","","",,,,,,
,instructions,1,109360,0.0-1.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"[{""""page_index"""":0,""""viewing_time"""":25077},{""""page_index"""":1,""""viewing_time"""":14079.5},{""""page_index"""":2,""""viewing_time"""":31777.200000047684},{""""page_index"""":3,""""viewing_time"""":12198.600000023842},{""""page_index"""":4,""""viewing_time"""":21519.599999904633}]",104652.600000024,"","",,"","","","","",,,,,,
,survey-multi-choice,2,156199,0.0-2.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"",46834.8999999762,"{""""Q0"""":""""... find all black cards whilst revealing as <b>few white<b> cards as possible""""}",[0],1,multichoice_part1,"","","","",,,,,,
,instructions,3,168398,0.0-4.0-0.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"[{""""page_index"""":0,""""viewing_time"""":12197.399999976158}]",12197.5999999046,"","",,"","","","","",,,,,,
,findSquares,4,195727,0.0-4.0-1.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"",,"","",,"","[['0', '0', '1', '0'], ['1', '1', '1', '1'], ['1', '1', '1', '0'], ['0', '0', '0', '0']]","[[2, 2]]","{'i': [0, 0, 0, 1, 3, 2, 1, 2, 2, 1, 0, 3, 3, 1], 'j': [0, 3, 2, 2, 2, 1, 1, 0, 3, 3, 1, 1, 0, 0], 't': [2515, 5635, 7030.800000071526, 8629.100000023842, 11127, 12198.200000047684, 13126.600000023842, 16030.800000071526, 18407.800000071526, 19337.600000023842, 21707.700000047684, 23598, 24454.399999976158, 25314.600000023842], 'hit': ['0', '0', '1', '1', '0', '1', '1', '1', '0', '1', '0', '0', '0', '1'], 'b': []}","[['white', 'white', 'black', 'white'], ['black', 'black', 'black', 'black'], ['black', 'black', 'black', 'white'], ['white', 'white', 'white', 'unknown']]",14,0,1,,,
,instructions,5,210661,0.0-4.0-2.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"[{""""page_index"""":0,""""viewing_time"""":14933.199999928474}]",14933.5,"","",,"","","","","",,,,,,
,instructions,6,324001,0.0-4.0-3.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"[{""""page_index"""":0,""""viewing_time"""":104099.89999997616},{""""page_index"""":1,""""viewing_time"""":9238.600000023842}]",113338.799999952,"","",,"","","","","",,,,,,
,findSquares,7,348826,0.0-4.0-4.0-0.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['0', '0', '0', '0', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['1', '1', '0', '0', '1', '1'], ['1', '0', '0', '0', '0', '1']]","[[2, 2], [4, 1], [4, 5]]","{'i': [2, 1, 3, 3, 4, 5, 5, 4, 5, 3, 5], 'j': [3, 3, 3, 2, 0, 0, 1, 4, 4, 5, 5], 't': [3273.1999999284744, 6020.199999928474, 7674.799999952316, 8664.799999952316, 11041.799999952316, 12137.899999976158, 13141.5, 16886.600000023842, 19157.100000023842, 21693.5, 22816.399999976158], 'hit': ['1', '0', '1', '1', '1', '1', '0', '1', '0', '0', '1'], 'b': []}","[['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['unknown', 'unknown', 'unknown', 'white', 'unknown', 'unknown'], ['unknown', 'unknown', 'black', 'black', 'unknown', 'unknown'], ['unknown', 'unknown', 'black', 'black', 'unknown', 'white'], ['black', 'black', 'unknown', 'unknown', 'black', 'black'], ['black', 'white', 'unknown', 'unknown', 'white', 'black']]",11,0,22,,2,
,instructions,8,355958,0.0-4.0-4.0-1.0,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"[{""""page_index"""":0,""""viewing_time"""":7131.600000023842}]",7131.79999995232,"","",,"","","","","",,,,,,
,findSquares,9,410316,0.0-4.0-4.0-0.1,6851d3836698db9d924a5473,683f68350856a8abb3a6abe7,6851dd4c245327e02d98eabc,36,1,TRUE,1,TRUE,Player 36,73,"",,"","",,non-pretend,"[['1', '1', '1', '0', '0', '1'], ['0', '0', '0', '0', '0', '1'], ['0', '0', '0', '0', '0', '0'], ['0', '0', '0', '0', '1', '0'], ['1', '1', '0', '1', '1', '0'], ['0', '0', '0', '0', '0', '0']]","[[0, 1], [0, 5], [4, 0], [4, 4]]","{'i': [0, 1, 1, 2, 0, 5, 4, 4, 5, 3, 4, 3, 1, 2, 1, 0, 4, 0, 3], 'j': [4, 5, 4, 5, 0, 4, 5, 3, 0, 0, 1, 3, 0, 2, 1, 2, 2, 3, 4], 't': [2488.2999999523163, 4452.099999904633, 7010.599999904633, 8097, 9807.799999952316, 15431.799999952316, 16467, 17601.699999928474, 19601.799999952316, 21073.099999904633, 21658.099999904633, 33913.199999928474, 35696.299999952316, 39544.699999928474, 40595.699999928474, 41630.199999928474, 46341.39999997616, 48537.39999997616, 52343.699999928474], 'hit': ['0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '1'], 'b': []}","[['black', 'black', 'black', 'white', 'white', 'black'], ['white', 'white', 'unknown', 'unknown', 'white', 'black'], ['unknown', 'unknown', 'white', 'unknown', 'unknown', 'white'], ['white', 'unknown', 'unknown', 'white', 'black', 'unknown'], ['black', 'black', 'white', 'black', 'black', 'white'], ['white', 'unknown', 'unknown', 'unknown', 'white', 'unknown']]",19,0,13,,10,
