success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,participant_number,reconstruction_instructions,comprehend_reconstruction,nonpretend_instructions,comprehend_np,nickname,bonus,view_history,rt,responses,question_order,correct,test_part,grid,already_clicked,click_log,final_grid_state,num_clicks,cheat,round_points,misses,grid_number,white_cards_reported
1,fullscreen,0,3827,0.0-0.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"",,"","",,"","","","","",,,,,,
,instructions,1,73115,0.0-1.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"[{""""page_index"""":0,""""viewing_time"""":28436.200000047684},{""""page_index"""":1,""""viewing_time"""":11272.399999976158},{""""page_index"""":2,""""viewing_time"""":10184.299999952316},{""""page_index"""":3,""""viewing_time"""":5552.100000023842},{""""page_index"""":4,""""viewing_time"""":13840.200000047684}]",69285.7999999523,"","",,"","","","","",,,,,,
,survey-multi-choice,2,105709,0.0-2.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"",32591.5,"{""""Q0"""":""""... find all black cards whilst revealing as <b>few white<b> cards as possible""""}",[0],1,multichoice_part1,"","","","",,,,,,
,instructions,3,109747,0.0-4.0-0.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"[{""""page_index"""":0,""""viewing_time"""":4037.2000000476837}]",4037.60000002384,"","",,"","","","","",,,,,,
,findSquares,4,134252,0.0-4.0-1.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"",,"","",,"","[['0', '0', '0', '0'], ['1', '1', '1', '1'], ['1', '1', '1', '1'], ['0', '0', '0', '0']]","[[2, 3]]","{'i': [2, 1, 1, 2, 0, 1, 0, 3, 1, 2], 'j': [2, 2, 1, 1, 1, 3, 3, 3, 0, 0], 't': [2045.7999999523163, 3189.2999999523163, 4821.699999928474, 5781.299999952316, 11077.899999976158, 14101.799999952316, 17085.799999952316, 19437.799999952316, 21262.5, 22485.399999976158], 'hit': ['1', '1', '1', '1', '0', '1', '0', '0', '1', '1'], 'b': []}","[['unknown', 'white', 'unknown', 'white'], ['black', 'black', 'black', 'black'], ['black', 'black', 'black', 'black'], ['unknown', 'unknown', 'unknown', 'white']]",10,0,5,,,
,instructions,5,139285,0.0-4.0-2.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"[{""""page_index"""":0,""""viewing_time"""":5032.100000023842}]",5032.60000002384,"","",,"","","","","",,,,,,
,instructions,6,163901,0.0-4.0-3.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"[{""""page_index"""":0,""""viewing_time"""":20694.800000071526},{""""page_index"""":1,""""viewing_time"""":3919.7999999523163}]",24614.9000000954,"","",,"","","","","",,,,,,
,findSquares,7,194376,0.0-4.0-4.0-0.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0'], ['1', '0', '0', '0', '0', '1'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0']]","[[1, 1], [1, 5], [3, 5], [4, 0]]","{'i': [3, 2, 4, 5, 4, 4, 3, 4, 0, 1, 2, 1, 2, 5, 3, 5, 4, 0, 1], 'j': [4, 5, 5, 5, 4, 1, 1, 2, 1, 0, 0, 2, 1, 1, 0, 0, 3, 5, 4], 't': [1797.5, 3325.1999999284744, 4837.600000023842, 5869.699999928474, 6967.299999952316, 9741.799999952316, 10741.5, 11973.699999928474, 15325.600000023842, 16269.299999952316, 17285.299999952316, 18285.299999952316, 19581.399999976158, 21845.600000023842, 23078.299999952316, 24101.699999928474, 26349.5, 27559.5, 28470.100000023842], 'hit': ['0', '0', '1', '0', '1', '1', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '1'], 'b': []}","[['unknown', 'white', 'unknown', 'unknown', 'unknown', 'white'], ['black', 'black', 'white', 'unknown', 'black', 'black'], ['white', 'white', 'unknown', 'unknown', 'unknown', 'white'], ['black', 'white', 'unknown', 'unknown', 'white', 'black'], ['black', 'black', 'white', 'white', 'black', 'black'], ['white', 'white', 'unknown', 'unknown', 'unknown', 'white']]",19,0,13,,1,
,instructions,8,200550,0.0-4.0-4.0-1.0,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"[{""""page_index"""":0,""""viewing_time"""":6173.599999904633}]",6173.89999997616,"","",,"","","","","",,,,,,
,findSquares,9,225246,0.0-4.0-4.0-0.1,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '1', '0', '0', '1', '0'], ['0', '1', '0', '0', '1', '0'], ['0', '1', '0', '0', '1', '0']]","[[1, 2], [4, 4], [5, 1]]","{'i': [5, 5, 4, 3, 3, 2, 4, 0, 2, 3, 2, 1, 5], 'j': [0, 2, 1, 1, 4, 4, 5, 2, 2, 2, 3, 3, 4], 't': [2309.399999976158, 3261.2999999523163, 4725.5, 5822.299999952316, 7573.5, 8462.100000023842, 9741, 11534.700000047684, 12934.700000047684, 13918.799999952316, 15567.299999952316, 18573.799999952316, 22693.600000023842], 'hit': ['0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '1', '1', '1'], 'b': []}","[['unknown', 'unknown', 'white', 'unknown', 'unknown', 'unknown'], ['unknown', 'unknown', 'black', 'black', 'unknown', 'unknown'], ['unknown', 'unknown', 'black', 'black', 'white', 'unknown'], ['unknown', 'black', 'white', 'unknown', 'black', 'unknown'], ['unknown', 'black', 'unknown', 'unknown', 'black', 'white'], ['white', 'black', 'white', 'unknown', 'black', 'unknown']]",13,0,20,,3,
,instructions,10,230351,0.0-4.0-4.0-1.1,68514e6ca359134eff9c664a,6672fb66728df1edb72c1568,68516c2b31de875104994ede,65,1,TRUE,1,TRUE,Player 65,68,"[{""""page_index"""":0,""""viewing_time"""":5103.600000023842}]",5103.89999997616,"","",,"","","","","",,,,,,
